system:time_start,LST_C_L7
"Jul 20, 1999",
"Aug 5, 1999",
"Aug 21, 1999",
"Aug 30, 1999",
"Sep 6, 1999",
"Sep 22, 1999",16.87
"Oct 1, 1999",
"Oct 8, 1999",
"Oct 17, 1999",
"Oct 24, 1999",5.853
"Nov 2, 1999",
"Nov 18, 1999",
"Dec 11, 1999",
"Dec 20, 1999",
"Jan 12, 2000",-11.901
"Jan 28, 2000",
"Feb 13, 2000",
"Feb 29, 2000",
"Mar 16, 2000",
"Mar 25, 2000",
"Apr 1, 2000",
"Apr 10, 2000",
"Apr 17, 2000",
"Apr 26, 2000",
"May 3, 2000",13.462
"May 12, 2000",
"May 19, 2000",
"May 28, 2000",
"Jun 4, 2000",28.298
"Jun 13, 2000",
"Jun 20, 2000",27.517
"Jun 29, 2000",
"Jul 6, 2000",
"Jul 22, 2000",
"Jul 31, 2000",16.562
"Aug 7, 2000",
"Aug 16, 2000",
"Aug 23, 2000",
"Sep 1, 2000",
"Sep 17, 2000",
"Sep 24, 2000",14.701
"Nov 11, 2000",
"Nov 27, 2000",
"Dec 13, 2000",
"Dec 29, 2000",
"Jan 14, 2001",-10.594
"Jan 30, 2001",
"Feb 8, 2001",
"Feb 15, 2001",2.054
"Feb 24, 2001",
"Mar 3, 2001",
"Mar 12, 2001",
"Mar 19, 2001",
"Mar 28, 2001",
"Apr 4, 2001",
"Apr 13, 2001",
"Apr 29, 2001",
"May 15, 2001",
"May 22, 2001",
"May 31, 2001",
"Jun 7, 2001",
"Jun 23, 2001",
"Jul 2, 2001",
"Jul 9, 2001",16.868
"Jul 18, 2001",
"Jul 25, 2001",13.294
"Aug 3, 2001",25.052
"Aug 10, 2001",
"Aug 26, 2001",24.241
"Sep 11, 2001",
"Sep 20, 2001",
"Oct 6, 2001",
"Oct 13, 2001",16.856
"Oct 29, 2001",
"Nov 14, 2001",
"Nov 23, 2001",
"Dec 16, 2001",
"Jan 17, 2002",
"Feb 2, 2002",2.51
"Feb 11, 2002",
"Feb 18, 2002",
"Feb 27, 2002",
"Mar 6, 2002",4.328
"Mar 15, 2002",3.823
"Mar 31, 2002",
"Apr 7, 2002",
"Apr 16, 2002",1.601
"Apr 23, 2002",
"May 2, 2002",
"May 9, 2002",21.602
"May 18, 2002",29.35
"May 25, 2002",20.15
"Jun 3, 2002",24.7
"Jun 10, 2002",
"Jun 19, 2002",36.202
"Jun 26, 2002",
"Jul 5, 2002",19.289
"Jul 12, 2002",20.285
"Jul 21, 2002",24.052
"Jul 28, 2002",23.228
"Aug 22, 2002",
"Aug 29, 2002",
"Sep 7, 2002",18.382
"Sep 14, 2002",
"Sep 30, 2002",10.687
"Oct 16, 2002",
"Nov 1, 2002",
"Nov 17, 2002",
"Nov 26, 2002",
"Dec 19, 2002",
"Jan 20, 2003",
"Feb 5, 2003",
"Feb 14, 2003",
"Feb 21, 2003",-1.202
"Mar 25, 2003",4.397
"Apr 10, 2003",
"Apr 19, 2003",
"Apr 26, 2003",12.349
"May 5, 2003",29.397
"May 12, 2003",
"May 21, 2003",
"May 28, 2003",
"Jul 15, 2003",24.629
"Sep 17, 2003",18.405
"Sep 26, 2003",13.525
"Oct 28, 2003",-1.123
"Nov 13, 2003",
"Dec 22, 2003",
"Jan 23, 2004",-19.25
"Mar 27, 2004",
"Apr 28, 2004",
"May 30, 2004",23.173
"Jun 8, 2004",24.208
"Jun 15, 2004",
"Jun 24, 2004",18.972
"Aug 2, 2004",
"Sep 3, 2004",20.898
"Sep 19, 2004",16.983
"Oct 5, 2004",19.434
"Dec 8, 2004",
"Mar 30, 2005",-5.119
"Apr 15, 2005",3.27
"May 1, 2005",
"May 10, 2005",7.271
"May 26, 2005",24.316
"Jun 2, 2005",21.437
"Jul 4, 2005",23.658
"Jul 20, 2005",
"Jul 29, 2005",
"Aug 5, 2005",
"Sep 22, 2005",13.573
"Oct 1, 2005",
"Oct 8, 2005",
"Nov 9, 2005",9.375
"Jan 28, 2006",-5.555
"Feb 6, 2006",
"Feb 13, 2006",
"May 4, 2006",5.825
"Jun 5, 2006",
"Jun 14, 2006",
"Jun 21, 2006",28.244
"Jul 16, 2006",
"Sep 25, 2006",
"Oct 27, 2006",
"Dec 7, 2006",
"Dec 14, 2006",1.223
"Dec 23, 2006",
"Jan 15, 2007",-0.88
"Feb 9, 2007",
"Mar 13, 2007",
"Mar 29, 2007",
"Apr 5, 2007",0.927
"Apr 14, 2007",18.802
"Apr 21, 2007",13.524
"Apr 30, 2007",
"May 23, 2007",
"Jun 8, 2007",
"Jun 24, 2007",14.325
"Jul 19, 2007",27.871
"Jul 26, 2007",21.518
"Oct 14, 2007",8.343
"Dec 17, 2007",
"Dec 26, 2007",-4.057
"Jan 11, 2008",2.022
"Feb 3, 2008",-7.268
"Feb 12, 2008",-0.361
"Feb 19, 2008",
"Feb 28, 2008",
"Mar 6, 2008",-5.691
"Mar 15, 2008",
"Mar 31, 2008",
"May 2, 2008",
"May 9, 2008",17.756
"May 25, 2008",
"Jun 10, 2008",
"Jun 26, 2008",
"Jul 28, 2008",24.209
"Aug 6, 2008",
"Aug 13, 2008",
"Nov 1, 2008",8.218
"Dec 3, 2008",-5.821
"Dec 28, 2008",-12.98
"Jan 13, 2009",
"Feb 5, 2009",1.58
"Mar 18, 2009",-1.691
"Mar 25, 2009",
"Apr 3, 2009",4.159
"Apr 10, 2009",7.621
"Apr 19, 2009",6.082
"Apr 26, 2009",
"Jun 13, 2009",17.063
"Jun 29, 2009",
"Jul 24, 2009",
"Aug 9, 2009",
"Aug 16, 2009",24.794
"Aug 25, 2009",23.505
"Sep 1, 2009",22.623
"Sep 10, 2009",
"Sep 26, 2009",
"Nov 20, 2009",12.74
"Apr 6, 2010",
"Apr 13, 2010",
"Apr 22, 2010",
"Apr 29, 2010",16.023
"May 24, 2010",20.835
"Jun 9, 2010",
"Jun 25, 2010",
"Jul 11, 2010",31.635
"Jul 27, 2010",
"Sep 20, 2010",10.962
"Oct 22, 2010",-0.389
"Mar 8, 2011",1.688
"Mar 15, 2011",6.602
"Mar 24, 2011",
"Apr 9, 2011",10.839
"Apr 16, 2011",
"Apr 25, 2011",
"May 2, 2011",
"Jun 3, 2011",
"Jun 28, 2011",24.384
"Aug 6, 2011",
"Aug 22, 2011",25.668
"Aug 31, 2011",17.036
"Sep 16, 2011",
"Sep 23, 2011",
"Oct 2, 2011",20.147
"Oct 9, 2011",
"Oct 18, 2011",
"Oct 25, 2011",7.394
"Nov 10, 2011",
"Nov 19, 2011",
"Nov 26, 2011",
"Dec 5, 2011",
"Dec 12, 2011",-3.713
"Dec 28, 2011",
"Feb 14, 2012",
"Mar 17, 2012",
"Mar 26, 2012",0.951
"Apr 2, 2012",-0.145
"Apr 11, 2012",
"Apr 18, 2012",
"Apr 27, 2012",11.871
"May 4, 2012",
"May 13, 2012",
"May 20, 2012",29.398
"May 29, 2012",
"Jun 21, 2012",
"Jul 7, 2012",
"Jul 23, 2012",16.726
"Aug 8, 2012",13.329
"Sep 9, 2012",20.681
"Sep 25, 2012",14.243
"Oct 4, 2012",
"Oct 11, 2012",6.891
"Oct 20, 2012",18.373
"Nov 21, 2012",5.079
"Dec 7, 2012",
"Mar 4, 2013",-0.684
"Mar 20, 2013",-4.947
"Mar 29, 2013",-3.396
"Apr 14, 2013",3.828
"Apr 21, 2013",2.566
"Apr 30, 2013",
"Jun 8, 2013",
"Jun 17, 2013",
"Jul 3, 2013",
"Jul 10, 2013",
"Jul 19, 2013",
"Jul 26, 2013",26.298
"Aug 4, 2013",25.392
"Aug 11, 2013",
"Sep 28, 2013",11.264
"Oct 7, 2013",
"Oct 14, 2013",8.221
"Oct 23, 2013",
"Nov 8, 2013",
"Nov 15, 2013",
"Dec 1, 2013",
"Dec 10, 2013",
"Dec 17, 2013",4.353
"Dec 26, 2013",
"Jan 2, 2014",
"Jan 11, 2014",
"Jan 18, 2014",0.47
"Feb 3, 2014",
"Feb 12, 2014",-1.691
"Feb 28, 2014",
"Mar 7, 2014",3.945
"Apr 1, 2014",9.694
"Apr 8, 2014",
"Apr 17, 2014",
"Apr 24, 2014",
"May 10, 2014",
"May 19, 2014",
"May 26, 2014",
"Jun 4, 2014",
"Jun 11, 2014",30.124
"Jun 20, 2014",
"Jun 27, 2014",19.928
"Jul 6, 2014",
"Jul 13, 2014",
"Jul 22, 2014",
"Aug 7, 2014",
"Aug 23, 2014",
"Aug 30, 2014",
"Sep 8, 2014",
"Sep 15, 2014",
"Oct 10, 2014",
"Oct 17, 2014",
"Oct 26, 2014",
"Nov 2, 2014",12.767
"Nov 11, 2014",
"Nov 27, 2014",
"Dec 4, 2014",
"Dec 13, 2014",
"Dec 20, 2014",
"Jan 14, 2015",
"Jan 21, 2015",
"Feb 6, 2015",
"Feb 15, 2015",
"Feb 22, 2015",
"Mar 3, 2015",
"Mar 10, 2015",4.623
"Mar 19, 2015",
"Mar 26, 2015",
"Apr 11, 2015",4.59
"Apr 20, 2015",
"Apr 27, 2015",8.609
"May 13, 2015",20.098
"May 22, 2015",
"May 29, 2015",
"Jun 7, 2015",
"Jun 14, 2015",18.434
"Jun 23, 2015",
"Jun 30, 2015",
"Jul 9, 2015",
"Jul 16, 2015",24.992
"Jul 25, 2015",
"Aug 1, 2015",
"Aug 10, 2015",31.152
"Aug 26, 2015",22.222
"Sep 2, 2015",
"Sep 11, 2015",15.888
"Sep 18, 2015",13.187
"Sep 27, 2015",
"Nov 5, 2015",11.108
"Nov 14, 2015",
"Nov 21, 2015",
"Dec 7, 2015",4.524
"Dec 16, 2015",
"Dec 23, 2015",3.569
"Jan 1, 2016",
"Jan 8, 2016",
"Jan 17, 2016",
"Feb 2, 2016",
"Feb 9, 2016",
"Feb 18, 2016",
"Feb 25, 2016",
"Mar 5, 2016",
"Mar 12, 2016",
"Mar 21, 2016",0.078
"Mar 28, 2016",-1.691
"Apr 6, 2016",
"Apr 13, 2016",
"Apr 22, 2016",
"Apr 29, 2016",2.919
"May 8, 2016",19.712
"May 15, 2016",
"Jun 16, 2016",6.214
"Jun 25, 2016",28.677
"Jul 2, 2016",
"Jul 11, 2016",
"Jul 18, 2016",18.958
"Jul 27, 2016",
"Aug 3, 2016",
"Aug 19, 2016",
"Aug 28, 2016",26.571
"Sep 4, 2016",
"Sep 13, 2016",24.357
"Sep 20, 2016",
"Sep 29, 2016",
"Oct 15, 2016",9.253
"Oct 22, 2016",
"Oct 31, 2016",4.713
"Nov 7, 2016",
"Nov 23, 2016",5.796
"Dec 2, 2016",
"Dec 9, 2016",
"Jan 3, 2017",
"Jan 10, 2017",
"Jan 19, 2017",-8.745
"Jan 26, 2017",-7.737
"Feb 4, 2017",-1.079
"Feb 11, 2017",-1.881
"Feb 20, 2017",
"Feb 27, 2017",
"Mar 8, 2017",
"Mar 24, 2017",
"Mar 31, 2017",
"Apr 9, 2017",
"Apr 16, 2017",
"Apr 25, 2017",
"May 2, 2017",
"May 11, 2017",
"May 18, 2017",26.239
"May 27, 2017",
"Jun 3, 2017",
"Jun 12, 2017",
"Jun 19, 2017",25.887
"Jun 28, 2017",
"Jul 5, 2017",
"Jul 14, 2017",
"Jul 21, 2017",22.832
"Jul 30, 2017",
"Aug 6, 2017",
"Aug 15, 2017",
"Aug 22, 2017",
"Aug 31, 2017",23.214
"Sep 7, 2017",
"Sep 23, 2017",
"Oct 2, 2017",10.756
"Oct 9, 2017",3.748
"Oct 18, 2017",
"Oct 25, 2017",
"Nov 3, 2017",
"Nov 19, 2017",
"Nov 26, 2017",
"Dec 12, 2017",
"Jan 6, 2018",
"Jan 29, 2018",
"Feb 14, 2018",
"Feb 23, 2018",
"Mar 2, 2018",-7.199
"Mar 11, 2018",0.327
"Mar 27, 2018",
"Apr 3, 2018",3.238
"Apr 12, 2018",
"Apr 19, 2018",
"Apr 28, 2018",20.687
"May 5, 2018",
"May 14, 2018",
"May 21, 2018",
"May 30, 2018",
"Jun 6, 2018",
"Jun 15, 2018",15.712
"Jun 22, 2018",
"Jul 1, 2018",19.672
"Jul 8, 2018",21.318
"Jul 17, 2018",
"Jul 24, 2018",21.514
"Aug 2, 2018",
"Aug 18, 2018",
"Sep 10, 2018",19.363
"Sep 19, 2018",
"Sep 26, 2018",0.545
"Oct 5, 2018",16.862
"Oct 12, 2018",16.443
"Oct 21, 2018",
"Nov 6, 2018",13.616
"Nov 13, 2018",-2.568
"Nov 29, 2018",-4.85
"Dec 8, 2018",
"Dec 15, 2018",
"Jan 16, 2019",
"Feb 10, 2019",
"Feb 17, 2019",2.775
"Feb 26, 2019",0.297
"Mar 14, 2019",
"Mar 21, 2019",2.566
"Mar 30, 2019",2.829
"Apr 6, 2019",
"Apr 15, 2019",4.149
"Apr 22, 2019",11.637
"May 1, 2019",
"May 8, 2019",7.182
"May 17, 2019",
"May 24, 2019",
"Jun 2, 2019",
"Jun 9, 2019",22.112
"Jun 18, 2019",
"Jun 25, 2019",29.616
"Jul 4, 2019",24.724
"Jul 20, 2019",25.797
"Jul 27, 2019",
"Aug 5, 2019",
"Aug 12, 2019",
"Aug 21, 2019",
"Aug 28, 2019",
"Sep 6, 2019",
"Sep 13, 2019",
"Sep 22, 2019",21.24
"Sep 29, 2019",12.466
"Oct 8, 2019",
"Oct 15, 2019",
"Oct 24, 2019",
"Oct 31, 2019",1.194
"Nov 16, 2019",
"Nov 25, 2019",
"Dec 2, 2019",
"Dec 11, 2019",
"Dec 18, 2019",
"Dec 27, 2019",
"Jan 3, 2020",0.157
"Jan 12, 2020",-1.658
"Jan 28, 2020",
"Feb 4, 2020",
"Feb 13, 2020",
"Mar 16, 2020",-4.139
"Mar 23, 2020",-6.031
"Apr 1, 2020",
"Apr 8, 2020",14.09
"Apr 17, 2020",14.385
"Apr 24, 2020",-13.621
"May 3, 2020",
"May 19, 2020",
"Jun 4, 2020",
"Jun 27, 2020",19.074
"Jul 6, 2020",
"Jul 13, 2020",
"Jul 22, 2020",22.555
"Jul 29, 2020",19.653
"Aug 7, 2020",25.491
"Aug 14, 2020",7.55
"Aug 23, 2020",
"Sep 8, 2020",16.776
"Sep 15, 2020",21.879
"Sep 24, 2020",
"Oct 1, 2020",12.146
"Oct 10, 2020",
"Oct 26, 2020",10.171
"Nov 18, 2020",5.671
"Nov 27, 2020",1.583
"Dec 4, 2020",-0.145
"Jan 21, 2021",
"Feb 6, 2021",
"Feb 15, 2021",-14.251
"Feb 22, 2021",5.346
"Mar 3, 2021",
"Mar 26, 2021",4.797
"Apr 4, 2021",0.844
"Apr 11, 2021",
"Apr 20, 2021",
"Apr 27, 2021",
"May 6, 2021",
"May 22, 2021",
"May 29, 2021",
"Jun 7, 2021",21.617
"Jun 23, 2021",
"Jun 30, 2021",
"Jul 9, 2021",
"Jul 16, 2021",
"Jul 25, 2021",
"Aug 10, 2021",17.566
"Aug 17, 2021",
"Sep 2, 2021",14.399
"Sep 11, 2021",
"Sep 18, 2021",
"Oct 4, 2021",
"Oct 13, 2021",
"Oct 20, 2021",13.632
"Oct 29, 2021",12.233
"Nov 5, 2021",
"Nov 14, 2021",
"Nov 21, 2021",2.006
"Feb 2, 2022",
"Feb 9, 2022",
"Feb 18, 2022",
"Feb 25, 2022",
"Mar 6, 2022",
"Mar 13, 2022",2.355
"Mar 22, 2022",4.156
"Mar 29, 2022",
"May 8, 2022",
"May 20, 2022",
"Jun 6, 2022",17.163
"Jun 11, 2022",16.17
"Jun 28, 2022",
"Jul 10, 2022",
"Jul 15, 2022",13.612
"Jul 27, 2022",
"Aug 1, 2022",
"Aug 13, 2022",17.543
"Aug 18, 2022",
"Aug 30, 2022",16.058
"Sep 4, 2022",15.706
"Sep 21, 2022",
"Oct 3, 2022",
"Oct 8, 2022",
"Oct 20, 2022",5.98
"Oct 25, 2022",
"Nov 6, 2022",2.075
"Feb 21, 2023",
"Mar 15, 2023",-4.355
"Apr 1, 2023",-6.689
"Apr 6, 2023",2.187
"Apr 23, 2023",
"Apr 28, 2023",
"May 20, 2023",8.24
"Jun 11, 2023",14.56
"Jun 16, 2023",
"Jun 28, 2023",
"Jul 3, 2023",15.032
"Jul 8, 2023",23.021
"Jul 30, 2023",
"Aug 16, 2023",
"Aug 21, 2023",20.402
"Aug 26, 2023",
"Sep 12, 2023",14.067
"Sep 17, 2023",15.735
"Oct 9, 2023",
"Oct 14, 2023",
"Oct 19, 2023",
